id,source_document_id,source_record_id,asset_type,title,external_ref,image_url,thumbnail_url,page_url,rights_note,payload
57b210c0-9f0a-5bc4-a6f6-ce353a558625,c64f8fcb-8121-554e-9c9e-72928c104811,a186391a-8dd9-5cfa-95fd-4ef0485ecc5b,photo_reference,LK237 ATHENA - C 4228/14,C 4228/14,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1970s"", ""job_or_type"": ""SEINE NETTER"", ""lk_number"": ""LK237"", ""photo_decade"": ""1990s"", ""photo_ref"": ""C 4228/14"", ""photo_year"": ""1992"", ""photo_year_raw"": ""1992"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""C 4228/14 LK 237 ATHENA 1974 49 SEINE NETTER BERTHED With shelterdeck 1992 LERWICK"", ""remarks"": ""With shelterdeck"", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""49"", ""vessel_name"": ""ATHENA"", ""year_built"": ""1974""}"
a637b2a9-cb86-51fb-97a8-13a1291bee19,c64f8fcb-8121-554e-9c9e-72928c104811,6fbeb0d1-57ae-5f06-bd03-9ca31834e343,photo_reference,LK237 ATHENA - D 0000166,D 0000166,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1970s"", ""job_or_type"": ""SEINE NETTER"", ""lk_number"": ""LK237"", ""photo_decade"": ""2010s"", ""photo_ref"": ""D 0000166"", ""photo_year"": ""2011"", ""photo_year_raw"": ""2011"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""D 0000166 LK 237 ATHENA 1974 49 SEINE NETTER BERTHED Derelict 2011 LERWICK"", ""remarks"": ""Derelict"", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""49"", ""vessel_name"": ""ATHENA"", ""year_built"": ""1974""}"
a424a414-1a47-5dd7-bea9-20fd58a1b66a,c64f8fcb-8121-554e-9c9e-72928c104811,f64a6869-6ad1-5a0f-80f6-d50eed43fb7a,photo_reference,LK237 ATHENA - D 0000165,D 0000165,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1970s"", ""job_or_type"": ""SEINE NETTER"", ""lk_number"": ""LK237"", ""photo_decade"": ""2010s"", ""photo_ref"": ""D 0000165"", ""photo_year"": ""2011"", ""photo_year_raw"": ""2011"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""D 0000165 LK 237 ATHENA 1974 49 SEINE NETTER BERTHED Derelict 2011 LERWICK"", ""remarks"": ""Derelict"", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""49"", ""vessel_name"": ""ATHENA"", ""year_built"": ""1974""}"
a7df89df-9a0b-5ef8-a734-8539e4c25433,c64f8fcb-8121-554e-9c9e-72928c104811,35b8f8b9-ab50-5490-81e2-3b9c808862b9,photo_reference,LK241 ALERT III - D 0001723,D 0001723,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""2010s"", ""job_or_type"": ""POTTER"", ""lk_number"": ""LK241"", ""photo_decade"": ""2010s"", ""photo_ref"": ""D 0001723"", ""photo_year"": ""2016"", ""photo_year_raw"": ""2016"", ""port_of_registry"": ""LERWICK"", ""position"": ""ON SLIPWAY"", ""raw_line"": ""D 0001723 LK 241 ALERT III 2014 GT 14 POTTER ON SLIPWAY 2016 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""GT 14"", ""vessel_name"": ""ALERT III"", ""year_built"": ""2014""}"
27d919dc-582c-512b-af43-42c9445ba96b,c64f8fcb-8121-554e-9c9e-72928c104811,d43e68e3-0bc9-50ce-8adf-847e0c7cb5f2,photo_reference,LK243 DEWY ROSE - M 233/17,M 233/17,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1950s"", ""job_or_type"": ""SEINE NETTER"", ""lk_number"": ""LK243"", ""photo_decade"": ""1980s"", ""photo_ref"": ""M 233/17"", ""photo_year"": ""1980"", ""photo_year_raw"": ""1980"", ""port_of_registry"": ""LERWICK"", ""position"": ""UNDERWAY"", ""raw_line"": ""M 233/17 LK 243 DEWY ROSE 1952 23 SEINE NETTER UNDERWAY 1980 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""23"", ""vessel_name"": ""DEWY ROSE"", ""year_built"": ""1952""}"
82ab560c-e867-5edf-9a37-da7bdf250bd9,c64f8fcb-8121-554e-9c9e-72928c104811,497e7170-84aa-55b5-9a0c-b9846360d085,photo_reference,LK243 (ex) SWAN - D 0001729,D 0001729,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1900s"", ""job_or_type"": ""DRIFTER"", ""lk_number"": ""LK243"", ""photo_decade"": ""2010s"", ""photo_ref"": ""D 0001729"", ""photo_year"": ""2016"", ""photo_year_raw"": ""2016"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""D 0001729 LK 243 (ex) SWAN 1900 GT 57 DRIFTER BERTHED preserved 2016 LERWICK"", ""remarks"": ""preserved"", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""GT 57"", ""vessel_name"": ""(ex) SWAN"", ""year_built"": ""1900""}"
81077d35-1c76-5625-8efd-6084d0f69c60,c64f8fcb-8121-554e-9c9e-72928c104811,22707ffa-241b-5498-a19b-3cdd3392bbfd,photo_reference,LK244 MERIDIAN - C 4331/5,C 4331/5,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1980s"", ""job_or_type"": ""SCALLOPER"", ""lk_number"": ""LK244"", ""photo_decade"": ""1990s"", ""photo_ref"": ""C 4331/5"", ""photo_year"": ""1994"", ""photo_year_raw"": ""1994"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""C 4331/5 LK 244 MERIDIAN 1980 24 SCALLOPER BERTHED 1994 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""24"", ""vessel_name"": ""MERIDIAN"", ""year_built"": ""1980""}"
c1ee1538-1a8d-5983-93f8-b3b54c5ad3a0,c64f8fcb-8121-554e-9c9e-72928c104811,01c68694-a577-5e2f-a227-3824323349e5,photo_reference,LK250 ST. CLAIR - M 801/30,M 801/30,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": """", ""job_or_type"": ""LINE FISHER"", ""lk_number"": ""LK250"", ""photo_decade"": ""1960s"", ""photo_ref"": ""M 801/30"", ""photo_year"": ""1967"", ""photo_year_raw"": ""1967"", ""port_of_registry"": ""LERWICK"", ""position"": ""UNDERWAY"", ""raw_line"": ""M 801/30 LK 250 ST. CLAIR 38 LINE FISHER UNDERWAY 1967 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""38"", ""vessel_name"": ""ST. CLAIR"", ""year_built"": """"}"
96de43da-93cf-5a26-8e70-8697ab2df15b,c64f8fcb-8121-554e-9c9e-72928c104811,38c278cd-0e5c-5911-a246-c85862bfcc6a,photo_reference,LK250 SHARYN LOUISE - D 0001658,D 0001658,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1980s"", ""job_or_type"": ""TRAWLER"", ""lk_number"": ""LK250"", ""photo_decade"": ""2010s"", ""photo_ref"": ""D 0001658"", ""photo_year"": ""2016"", ""photo_year_raw"": ""2016"", ""port_of_registry"": ""LERWICK"", ""position"": ""BERTHED"", ""raw_line"": ""D 0001658 LK 250 SHARYN LOUISE 1987 GT 111 TRAWLER BERTHED 2016 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""GT 111"", ""vessel_name"": ""SHARYN LOUISE"", ""year_built"": ""1987""}"
9013be44-a6ab-5f96-9775-b3a73c86f283,c64f8fcb-8121-554e-9c9e-72928c104811,f318c57d-b3ce-505a-b5e8-b3648b870f39,photo_reference,LK253 COMET - M 804/16,M 804/16,,,https://wildmuir.co.uk/catalogues/fishcat.pdf,Photo reference only. The actual photograph is not embedded; contact Wildmuir/A. Denholm for image supply and permissions.,"{""built_decade"": ""1970s"", ""job_or_type"": ""SEINE NETTER"", ""lk_number"": ""LK253"", ""photo_decade"": ""1980s"", ""photo_ref"": ""M 804/16"", ""photo_year"": ""1980"", ""photo_year_raw"": ""1980"", ""port_of_registry"": ""LERWICK"", ""position"": ""UNDERWAY"", ""raw_line"": ""M 804/16 LK 253 COMET 1971 70 SEINE NETTER UNDERWAY 1980 LERWICK"", ""remarks"": """", ""source"": ""A. Denholm / Wildmuir Fishing Boat Photo Catalogue"", ""source_page"": ""98"", ""source_url"": ""https://wildmuir.co.uk/catalogues/fishcat.pdf"", ""tons_or_gt"": ""70"", ""vessel_name"": ""COMET"", ""year_built"": ""1971""}"
